id,category_id,minihongo,reading,english,japanese,english_litteral,definition_minihongo,sort_order
comp-37,cat-25,国道,こくどう,national highway,国道,国 + 道,国【くに】の大【おお】きい道【みち】,37
comp-38,cat-25,水道,すいどう,water supply,水道,水 + 道,水【みず】が来【く】る道【みち】,38
comp-39,cat-25,水中,すいちゅう,underwater,水中,水 + 中,水【みず】の中【なか】,39
comp-40,cat-25,海水,かいすい,seawater,海水,海 + 水,海【うみ】の水【みず】,40
comp-41,cat-25,海上,かいじょう,on the sea,海上,海 + 上,海【うみ】の上【うえ】,41
comp-42,cat-25,大海,たいかい,great ocean,大海,大 + 海,大【おお】きい海【うみ】,42
comp-43,cat-25,大雨,おおあめ,heavy rain,大雨,大 + 雨,とても多【おお】い雨【あめ】,43
comp-44,cat-25,大水,おおみず,flood,大水,大 + 水,水【みず】が多【おお】く出【で】ること,44
comp-45,cat-25,大火,たいか,great fire,大火,大 + 火,大【おお】きい火【ひ】,45
comp-46,cat-25,火口,かこう,volcanic crater,火口,火 + 口,火【ひ】が出【で】る口【くち】,46
comp-47,cat-25,強風,きょうふう,strong wind,強風,強 + 風,強【つよ】い風【かぜ】,47
comp-48,cat-25,金山,きんざん,gold mine,金山,金 + 山,お金【かね】が出【で】る山【やま】,48
comp-49,cat-26,日光,にっこう,sunlight,日光,日 + 光,太陽【たいよう】の光【ひかり】,49
comp-50,cat-26,月光,げっこう,moonlight,月光,月 + 光,月【つき】の光【ひかり】,50
comp-51,cat-26,月夜,つきよ,moonlit night,月夜,月 + 夜,月【つき】が明【あか】るい夜【よる】,51
comp-52,cat-26,新月,しんげつ,new moon,新月,新 + 月,新【あたら】しい月【つき】,52
comp-53,cat-26,月日,つきひ,"time, the days",月日,月 + 日,月【つき】と日【にち】の時【とき】,53
comp-54,cat-26,今日,きょう,today,今日,今 + 日,今【いま】の日【にち】,54
comp-55,cat-26,明日,あした,tomorrow,明日,明 + 日,今【いま】の日【にち】の後【あと】の日【にち】,55
comp-56,cat-26,前日,ぜんじつ,the day before,前日,前 + 日,前【まえ】の日【にち】,56
comp-57,cat-26,後日,ごじつ,"another day, later",後日,後 + 日,後【あと】の日【にち】,57
comp-58,cat-26,毎日,まいにち,every day,毎日,毎 + 日,毎【まい】の日【にち】,58
comp-59,cat-26,毎月,まいつき,every month,毎月,毎 + 月,毎【まい】の月【つき】,59
comp-60,cat-26,毎年,まいとし,every year,毎年,毎 + 年,毎【まい】の年【とし】,60
comp-61,cat-26,新年,しんねん,new year,新年,新 + 年,新【あたら】しい年【とし】,61
comp-62,cat-26,長年,ながねん,long years,長年,長 + 年,長【なが】い年【とし】の時【とき】,62
comp-63,cat-26,年中,ねんじゅう,all year round,年中,年 + 中,年【とし】の全部【ぜんぶ】の時【とき】,63
comp-64,cat-26,年上,としうえ,older (in age),年上,年 + 上,年【とし】が上【うえ】,64
comp-65,cat-26,年下,としした,younger (in age),年下,年 + 下,年【とし】が下【した】,65
comp-66,cat-26,年金,ねんきん,pension,年金,年 + 金,年【とし】ごとにもらうお金【かね】,66
comp-67,cat-26,日中,にっちゅう,daytime,日中,日 + 中,日【にち】の中【なか】の時【とき】,67
comp-68,cat-26,一日,いちにち,one day,一日,一 + 日,一【ひと】つの日【にち】,68
comp-69,cat-27,手足,てあし,hands and feet,手足,手 + 足,手【て】と足【あし】,69
comp-70,cat-27,右手,みぎて,right hand,右手,右 + 手,右【みぎ】の手【て】,70
comp-71,cat-27,左手,ひだりて,left hand,左手,左 + 手,左【ひだり】の手【て】,71
comp-72,cat-27,右足,みぎあし,right foot,右足,右 + 足,右【みぎ】の足【あし】,72
comp-73,cat-27,左足,ひだりあし,left foot,左足,左 + 足,左【ひだり】の足【あし】,73
comp-74,cat-27,耳目,じもく,"attention, eyes and ears",耳目,耳 + 目,耳【みみ】と目【め】,74
comp-75,cat-27,目上,めうえ,"superior, elder",目上,目 + 上,私【わたし】より上【うえ】の人【ひと】,75
comp-76,cat-27,目下,めした,subordinate,目下,目 + 下,私【わたし】より下【した】の人【ひと】,76
comp-77,cat-27,目前,もくぜん,before one's eyes,目前,目 + 前,目【め】の前【まえ】,77
comp-78,cat-27,足音,あしおと,footsteps,足音,足 + 音,足【あし】の音【おと】,78
comp-79,cat-27,全体,ぜんたい,the whole,全体,全 + 体,全部【ぜんぶ】の体【からだ】,79
comp-80,cat-27,大体,だいたい,"roughly, mostly",大体,大 + 体,大【おお】きくは全部【ぜんぶ】,80
comp-81,cat-27,一体,いったい,what on earth,一体,一 + 体,本当【ほんとう】に何【なに】,81
comp-82,cat-28,本物,ほんもの,genuine article,本物,本 + 物,本当【ほんとう】の物【もの】,82
comp-83,cat-28,好物,こうぶつ,favorite food,好物,好 + 物,好【す】きな食【た】べ物【もの】,83
comp-84,cat-28,名物,めいぶつ,local specialty,名物,名 + 物,その場所【ばしょ】で知【し】られた物【もの】,84
comp-85,cat-28,書物,しょもつ,"book, writings",書物,書 + 物,書【か】いた物【もの】,85
comp-86,cat-28,食物,しょくもつ,food,食物,食 + 物,食【た】べる物【もの】,86
comp-87,cat-28,作物,さくもつ,crops,作物,作 + 物,土【つち】で作【つく】る食【た】べ物【もの】,87
comp-88,cat-28,生物,せいぶつ,living thing,生物,生 + 物,生【い】きている物【もの】,88
comp-89,cat-28,風物,ふうぶつ,"scenery, seasonal sights",風物,風 + 物,その場所【ばしょ】の見【み】る物【もの】,89
comp-90,cat-28,金物,かなもの,"hardware, metalware",金物,金 + 物,お金【かね】で作【つく】った物【もの】,90
comp-91,cat-28,着物,きもの,kimono,着物,着 + 物,着【き】る物【もの】,91
comp-92,cat-28,飲み物,のみもの,"drink, beverage",飲み物,飲 + 物,飲【の】む物【もの】,92
comp-93,cat-28,買い物,かいもの,shopping,買い物,買 + 物,物【もの】を買【か】うこと,93
comp-94,cat-28,読み物,よみもの,reading material,読み物,読 + 物,読【よ】む物【もの】,94
comp-95,cat-28,持ち物,もちもの,belongings,持ち物,持 + 物,持【も】っている物【もの】,95
comp-96,cat-28,物音,ものおと,sound (of something),物音,物 + 音,物【もの】の音【おと】,96
comp-97,cat-28,見物,けんぶつ,sightseeing,見物,見 + 物,物【もの】を見【み】に行【い】くこと,97
comp-98,cat-29,手本,てほん,"model, example",手本,手 + 本,見【み】て教【おし】わる本【ほん】,98
comp-99,cat-29,手前,てまえ,"this side of, before",手前,手 + 前,私【わたし】の近【ちか】い前【まえ】,99
comp-100,cat-29,上手,じょうず,"skilled, good at",上手,上 + 手,することがとても良【よ】い,100
comp-101,cat-29,下手,へた,"clumsy, bad at",下手,下 + 手,することが良【よ】くない,101
comp-102,cat-29,切手,きって,postage stamp,切手,切 + 手,書【か】いた物【もの】を出【だ】す時【とき】に使【つか】う,102
comp-103,cat-29,入手,にゅうしゅ,obtaining,入手,入 + 手,手【て】に入【い】れること,103
comp-104,cat-29,選手,せんしゅ,"player, athlete",選手,選 + 手,選【えら】ばれた人【ひと】,104
comp-105,cat-29,助手,じょしゅ,assistant,助手,助 + 手,助【たす】ける人【ひと】,105
comp-106,cat-29,着手,ちゃくしゅ,"start, embark on",着手,着 + 手,することを始【はじ】めること,106
comp-107,cat-30,入口,いりぐち,entrance,入口,入 + 口,中【なか】に入【はい】る場所【ばしょ】,107
comp-108,cat-30,出口,でぐち,exit,出口,出 + 口,外【そと】に出【で】る場所【ばしょ】,108
comp-109,cat-30,出入,でいり,going in and out,出入,出 + 入,出【で】ることと入【はい】ること,109
comp-110,cat-30,入金,にゅうきん,"payment, deposit",入金,入 + 金,お金【かね】を入【い】れること,110
comp-111,cat-30,出金,しゅっきん,withdrawal,出金,出 + 金,お金【かね】を出【だ】すこと,111
comp-112,cat-30,外出,がいしゅつ,going out,外出,外 + 出,外【そと】に出【で】ること,112
comp-113,cat-30,新入,しんにゅう,newly entered,新入,新 + 入,新【あたら】しく入【はい】ること,113
comp-114,cat-30,立入,たちいり,entering (as in 立入禁止),立入,立 + 入,中【なか】に入【はい】ること,114
comp-115,cat-31,日本,にほん,Japan,日本,日 + 本,国【くに】の名前【なまえ】,115
comp-116,cat-31,本名,ほんみょう,real name,本名,本 + 名,本当【ほんとう】の名前【なまえ】,116
comp-117,cat-31,本心,ほんしん,true feelings,本心,本 + 心,本当【ほんとう】の心【こころ】,117
comp-118,cat-31,見本,みほん,sample,見本,見 + 本,見【み】るための物【もの】,118
comp-119,cat-31,教本,きょうほん,textbook,教本,教 + 本,教【おし】えるための本【ほん】,119
comp-120,cat-31,読本,とくほん,"reader, study book",読本,読 + 本,読【よ】むための本【ほん】,120
comp-121,cat-31,読書,どくしょ,reading,読書,読 + 書,本【ほん】を読【よ】むこと,121
comp-122,cat-31,音読,おんどく,reading aloud,音読,音 + 読,音【おと】を出【だ】して読【よ】むこと,122
comp-123,cat-31,新聞,しんぶん,newspaper,新聞,新 + 聞,新【あたら】しいことを書【か】いた物【もの】,123
comp-124,cat-32,外国,がいこく,foreign country,外国,外 + 国,外【そと】の国【くに】,124
comp-125,cat-32,大国,たいこく,great power,大国,大 + 国,大【おお】きい国【くに】,125
comp-126,cat-32,全国,ぜんこく,nationwide,全国,全 + 国,国【くに】の全部【ぜんぶ】,126
comp-127,cat-32,国立,こくりつ,national (institution),国立,国 + 立,国【くに】が作【つく】った,127
comp-128,cat-32,国外,こくがい,outside the country,国外,国 + 外,国【くに】の外【そと】,128
comp-129,cat-32,国名,こくめい,country name,国名,国 + 名,国【くに】の名前【なまえ】,129
comp-130,cat-32,海外,かいがい,overseas,海外,海 + 外,海【うみ】の外【そと】の国【くに】,130
comp-131,cat-33,中心,ちゅうしん,"center, core",中心,中 + 心,物【もの】の中【なか】の中【なか】,131
comp-132,cat-33,感心,かんしん,admiration,感心,感 + 心,良【よ】いと感【かん】じる心【こころ】,132
comp-133,cat-33,感動,かんどう,being moved/impressed,感動,感 + 動,心【こころ】が強【つよ】く動【うご】くこと,133
comp-134,cat-33,気持ち,きもち,feeling,気持ち,気 + 持,心【こころ】が感【かん】じること,134
comp-135,cat-33,思い出,おもいで,memory,思い出,思 + 出,前【まえ】のことを思【おも】い出【だ】すこと,135
comp-136,cat-34,動作,どうさ,"movement, action",動作,動 + 作,体【からだ】を動【うご】かすこと,136
comp-137,cat-34,変動,へんどう,fluctuation,変動,変 + 動,変【か】わって動【うご】くこと,137
comp-138,cat-34,開始,かいし,"start, commencement",開始,開 + 始,始【はじ】まること,138
comp-139,cat-34,開閉,かいへい,opening and closing,開閉,開 + 閉,開【あ】くことと閉【し】めること,139
comp-140,cat-34,始終,しじゅう,from start to finish,始終,始 + 終,始【はじ】めから終【お】わりまで,140
comp-141,cat-34,生死,せいし,life and death,生死,生 + 死,生【い】きることと死【し】ぬこと,141
comp-142,cat-34,出来事,できごと,"event, occurrence",出来事,出 + 来 + 事,起【お】こった事【こと】,142
comp-143,cat-35,大事,だいじ,"important, precious",大事,大 + 事,とても必要【ひつよう】なこと,143
comp-144,cat-35,大切,たいせつ,"important, dear",大切,大 + 切,とても必要【ひつよう】で好【す】きなこと,144
comp-145,cat-35,大変,たいへん,terrible / very,大変,大 + 変,大【おお】きく変【か】わること,145
comp-146,cat-35,大金,たいきん,large sum of money,大金,大 + 金,多【おお】いお金【かね】,146
comp-147,cat-35,大家,おおや,landlord,大家,大 + 家,家【いえ】を持【も】つ人【ひと】,147
comp-148,cat-35,大使,たいし,ambassador,大使,大 + 使,国【くに】が外【そと】に出【だ】す人【ひと】,148
comp-149,cat-36,食事,しょくじ,meal,食事,食 + 事,食【た】べること,149
comp-150,cat-36,火事,かじ,fire (disaster),火事,火 + 事,火【ひ】が大【おお】きくなる悪【わる】い事【こと】,150
comp-151,cat-36,知事,ちじ,governor,知事,知 + 事,国【くに】の場所【ばしょ】を守【まも】る人【ひと】,151
comp-152,cat-36,金色,きんいろ,gold color,金色,金 + 色,お金【かね】の色【いろ】,152
comp-153,cat-36,水色,みずいろ,light blue,水色,水 + 色,水【みず】の色【いろ】,153
comp-154,cat-36,音色,ねいろ,"tone, timbre",音色,音 + 色,音【おと】の色【いろ】,154
comp-155,cat-36,木目,もくめ,wood grain,木目,木 + 目,木【き】を切【き】ると見【み】えるもの,155
comp-156,cat-36,名目,めいもく,"nominal, in name only",名目,名 + 目,名前【なまえ】だけのこと,156
comp-157,cat-36,明白,めいはく,"obvious, clear",明白,明 + 白,明【あか】るくて見【み】えること,157
comp-158,cat-36,多少,たしょう,more or less,多少,多 + 少,多【おお】いか少【すこ】しか,158
comp-159,cat-36,外見,がいけん,appearance,外見,外 + 見,外【そと】から見【み】ること,159
comp-160,cat-36,上着,うわぎ,"jacket, outer wear",上着,上 + 着,上【うえ】に着【き】る服【ふく】,160
comp-161,cat-36,下着,したぎ,underwear,下着,下 + 着,下【した】に着【き】る服【ふく】,161
comp-162,cat-36,雨音,あまおと,sound of rain,雨音,雨 + 音,雨【あめ】の音【おと】,162
comp-163,cat-36,一生,いっしょう,lifetime,一生,一 + 生,人【ひと】が生【い】きる全部【ぜんぶ】の時【とき】,163
comp-164,cat-36,生前,せいぜん,while alive,生前,生 + 前,死【し】ぬ前【まえ】の時【とき】,164
comp-165,cat-36,一目,ひとめ,a glance,一目,一 + 目,一【ひと】つ見【み】ること,165
comp-166,cat-36,一言,ひとこと,one word,一言,一 + 言,一【ひと】つの言葉【ことば】,166
comp-167,cat-36,頭金,あたまきん,down payment,頭金,頭 + 金,始【はじ】めに出【だ】すお金【かね】,167
